#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,22,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,90.20202020200988,usage_idle,cpu,cpu1,phoenix
,,22,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,89.12175648703207,usage_idle,cpu,cpu1,phoenix
,,22,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,89.03420523138743,usage_idle,cpu,cpu1,phoenix
,,22,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,90.600000000004,usage_idle,cpu,cpu1,phoenix
,,22,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,85.78629032257305,usage_idle,cpu,cpu1,phoenix
,,23,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,0.10080645161290033,usage_iowait,cpu,cpu1,phoenix
,,23,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,0.30303030303026995,usage_iowait,cpu,cpu1,phoenix
,,23,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,0.09980039920160845,usage_iowait,cpu,cpu1,phoenix
,,23,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,0.4024144869215,usage_iowait,cpu,cpu1,phoenix
,,23,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,0,usage_iowait,cpu,cpu1,phoenix
,,23,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,0.20161290322581857,usage_iowait,cpu,cpu1,phoenix
,,24,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,0,usage_irq,cpu,cpu1,phoenix
,,24,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,0,usage_irq,cpu,cpu1,phoenix
,,24,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,0,usage_irq,cpu,cpu1,phoenix
,,24,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,0,usage_irq,cpu,cpu1,phoenix
,,24,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,0,usage_irq,cpu,cpu1,phoenix
,,24,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,0,usage_irq,cpu,cpu1,phoenix
