#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,13,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:20Z,0.20100502512557344,usage_iowait,cpu,cpu0,phoenix
,,13,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:30Z,0.3027245206861915,usage_iowait,cpu,cpu0,phoenix
,,13,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:40Z,0,usage_iowait,cpu,cpu0,phoenix
,,13,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:50Z,0.2030456852791774,usage_iowait,cpu,cpu0,phoenix
,,13,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:00Z,0.20408163265303578,usage_iowait,cpu,cpu0,phoenix
,,13,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:10Z,0,usage_iowait,cpu,cpu0,phoenix
,,14,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:20Z,0,usage_irq,cpu,cpu0,phoenix
,,14,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:30Z,0,usage_irq,cpu,cpu0,phoenix
,,14,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:40Z,0,usage_irq,cpu,cpu0,phoenix
,,14,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:50Z,0,usage_irq,cpu,cpu0,phoenix
,,14,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:00Z,0,usage_irq,cpu,cpu0,phoenix
,,14,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:10Z,0,usage_irq,cpu,cpu0,phoenix
,,15,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:20Z,1.2060301507536906,usage_nice,cpu,cpu0,phoenix
,,15,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:30Z,0.9081735620585386,usage_nice,cpu,cpu0,phoenix
,,15,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:40Z,1.0010010010008548,usage_nice,cpu,cpu0,phoenix
,,15,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:50Z,1.6243654822337439,usage_nice,cpu,cpu0,phoenix
,,15,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:00Z,0.6122448979592161,usage_nice,cpu,cpu0,phoenix
,,15,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:10Z,0.6198347107440395,usage_nice,cpu,cpu0,phoenix
,,16,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:20Z,0,usage_softirq,cpu,cpu0,phoenix
,,16,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:30Z,0,usage_softirq,cpu,cpu0,phoenix
,,16,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:40Z,0.10010010010006415,usage_softirq,cpu,cpu0,phoenix
,,16,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:50Z,0.10152284263962477,usage_softirq,cpu,cpu0,phoenix
,,16,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:00Z,0,usage_softirq,cpu,cpu0,phoenix
,,16,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:10Z,0,usage_softirq,cpu,cpu0,phoenix
,,17,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:20Z,0,usage_steal,cpu,cpu0,phoenix
,,17,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:30Z,0,usage_steal,cpu,cpu0,phoenix
,,17,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:40Z,0,usage_steal,cpu,cpu0,phoenix
,,17,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:50Z,0,usage_steal,cpu,cpu0,phoenix
,,17,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:00Z,0,usage_steal,cpu,cpu0,phoenix
,,17,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:10Z,0,usage_steal,cpu,cpu0,phoenix
,,18,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:20Z,2.9145728643216007,usage_system,cpu,cpu0,phoenix
,,18,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:30Z,3.1281533804238832,usage_system,cpu,cpu0,phoenix
,,18,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:40Z,3.2032032032026216,usage_system,cpu,cpu0,phoenix
,,18,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:50Z,3.045685279188383,usage_system,cpu,cpu0,phoenix
,,18,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:00Z,5.612244897959716,usage_system,cpu,cpu0,phoenix
,,18,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:10Z,1.7561983471082097,usage_system,cpu,cpu0,phoenix
,,19,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:20Z,6.532663316581066,usage_user,cpu,cpu0,phoenix
,,19,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:30Z,6.357214934410882,usage_user,cpu,cpu0,phoenix
,,19,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:40Z,5.705705705704154,usage_user,cpu,cpu0,phoenix
,,19,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:43:50Z,11.472081218276914,usage_user,cpu,cpu0,phoenix
,,19,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:00Z,16.224489795918736,usage_user,cpu,cpu0,phoenix
,,19,2022-04-29T17:43:16.852842169Z,2022-04-29T17:44:16.852842169Z,2022-04-29T17:44:10Z,3.4090909090913364,usage_user,cpu,cpu0,phoenix
